dalton	42.47435	-73.16325
brimfield	42.11650	-72.18850
northborough	42.31820	-71.64640
south walpole	42.09920	-71.27520
orleans	41.77920	-69.98220
sherborn	42.23310	-71.37870
pocasset	41.68810	-70.61050
dracut	42.67640	-71.31860
carver	41.88830	-70.76780
fiskdale	42.12280	-72.11780
rochester	41.75910	-70.85230
seekonk	41.83780	-71.32240
west boxford	42.70700	-71.06390
millville	42.03310	-71.57980
falmouth	41.55815	-70.61825
minot	42.24040	-70.76200
ludlow	42.17280	-72.47100
marblehead	42.49840	-70.86530
hanson	42.06160	-70.86510
newtonville	42.35200	-71.20840
canton	42.16450	-71.13550
west falmouth	41.60390	-70.63820
siasconset	41.26390	-69.96260
princeton	42.45080	-71.87620
milford	42.15110	-71.52740
sandisfield	42.10940	-73.11630
taunton	41.83060	-71.08485
west stockbridge	42.33480	-73.38250
west brookfield	42.24410	-72.15110
westport	41.62110	-71.08900
westminster	42.54710	-71.91010
abington	42.11670	-70.95430
holyoke	42.20315	-72.62120
harvard	42.49860	-71.57530
eastham	41.84080	-69.98490
cotuit	41.62430	-70.43640
dover	42.23620	-71.28540
easthampton	42.26680	-72.66900
townsend	42.65250	-71.68960
middleboro	41.89160	-70.90513
medford	42.41785	-71.10745
mill river	42.12280	-73.25400
plainville	42.01240	-71.32750
north attleboro	41.98045	-71.33130
west townsend	42.66780	-71.75220
greenbush	42.17930	-70.74950
buzzards bay	41.69930	-70.57210
lynnfield	42.53270	-71.03390
drury	42.64270	-72.98620
whately	42.44270	-72.65250
kingston	41.99500	-70.74100
upton	42.17560	-71.60320
lenox dale	42.33860	-73.25090
south deerfield	42.47560	-72.61530
easton	42.02350	-71.13240
ware	42.26180	-72.25830
douglas	42.05280	-71.75090
south carver	41.85010	-70.70440
boxford	42.67970	-71.01140
dorchester	42.29730	-71.07450
west tisbury	41.42130	-70.64280
north chelmsford	42.63470	-71.39080
green harbor	42.06960	-70.64910
paxton	42.30660	-71.92020
dudley	42.04890	-71.89320
oak bluffs	41.45430	-70.56200
lexington	42.44945	-71.22160
south lancaster	42.44350	-71.68610
savoy	42.57700	-73.02330
elmwood	42.00980	-70.96200
manchester	42.57960	-70.76740
williamsburg	42.40850	-72.77800
cambridge	42.37345	-71.10597
winchendon	42.67890	-72.04750
newton highlands	42.31680	-71.20840
hyannis	41.66010	-70.29670
hingham	42.23315	-70.89045
sagamore beach	41.79330	-70.51960
westport point	41.52230	-71.07450
wendell	42.56560	-72.40090
boxborough	42.48840	-71.51780
milton	42.25370	-71.07710
woodville	42.23760	-71.56200
waban	42.32710	-71.23150
new salem	42.51460	-72.30620
marion	41.70950	-70.76130
edgartown	41.38890	-70.53390
lynn	42.46848	-70.95840
south egremont	42.10120	-73.45660
north falmouth	41.64170	-70.62300
winchester	42.45300	-71.14410
nutting lake	42.53790	-71.26890
chilmark	41.35750	-70.74160
thorndike	42.19290	-72.32960
west springfield	42.14290	-72.62295
linwood	42.09730	-71.64480
pembroke	42.06210	-70.80440
east brookfield	42.21930	-72.04810
woronoco	42.16400	-72.82950
melrose	42.45810	-71.06320
clinton	42.41810	-71.68280
ayer	42.55910	-71.57880
sturbridge	42.11260	-72.08420
west barnstable	41.70020	-70.37200
marshfield	42.10620	-70.69930
dartmouth	41.75620	-71.06710
beverly	42.56080	-70.87590
peabody	42.58400	-70.92015
medfield	42.18450	-71.30480
bridgewater	41.98230	-70.97255
south easton	42.02570	-71.09880
south yarmouth	41.67390	-70.19490
east otis	42.19090	-73.05170
revere	42.41380	-71.00520
millbury	42.19680	-71.76440
wakefield	42.50090	-71.06850
greenfield	42.56175	-72.62390
dunstable	42.67390	-71.49520
woods hole	41.52630	-70.66430
gloucester	42.61835	-70.66705
westborough	42.26790	-71.61760
west harwich	41.66940	-70.11350
duxbury	42.00520	-70.70885
holliston	42.20260	-71.43610
west millbury	42.17120	-71.80370
south chatham	41.68010	-70.02410
ocean bluff	42.09720	-70.65160
andover	42.64992	-71.16922
baldwinville	42.59360	-72.06460
dighton	41.81250	-71.14270
holland	42.04030	-72.15440
plainfield	42.51440	-72.91830
forestdale	41.68270	-70.51430
richmond	42.37840	-73.36450
florence	42.32190	-72.69280
north egremont	42.19860	-73.44620
marshfield hills	42.15120	-70.73410
leverett	42.46820	-72.49930
shrewsbury	42.32480	-71.80870
franklin	42.09350	-71.40580
indian orchard	42.15320	-72.50500
gilbertville	42.33220	-72.19860
east orleans	41.78430	-69.96200
north waltham	42.36210	-71.20550
brockton	42.08286	-71.01908
west yarmouth	41.66140	-70.23630
stoneham	42.48280	-71.09780
georgetown	42.72810	-70.98220
manchaug	42.09450	-71.74760
newburyport	42.81300	-70.88470
babson park	42.29870	-71.25950
lincoln	42.42170	-71.31370
berlin	42.38440	-71.63560
adams	42.62230	-73.11720
cherry valley	42.23730	-71.87500
west wareham	41.77960	-70.76420
millis	42.16690	-71.36070
everett	42.41120	-71.05140
waverley	42.38760	-71.18280
blandford	42.18290	-72.93610
worcester	42.28033	-71.81828
jefferson	42.37550	-71.87060
east taunton	41.87360	-71.01920
needham heights	42.29450	-71.23280
chesterfield	42.39230	-72.82560
chelmsford	42.59110	-71.35560
hull	42.28530	-70.87540
mattapan	42.27390	-71.09390
harwich	41.70080	-70.05790
wales	42.06270	-72.20460
cataumet	41.66940	-70.62340
new town	42.44640	-71.45940
somerville	42.39130	-71.10593
malden	42.42910	-71.06050
dennis port	41.66490	-70.13270
north pembroke	42.09320	-70.79250
merrimac	42.83460	-71.00470
saugus	42.46330	-71.01110
marlborough	42.35090	-71.54340
southborough	42.29390	-71.53200
quincy	42.26290	-71.01070
mansfield	42.02120	-71.21780
newton center	42.33410	-71.18330
yarmouth port	41.70510	-70.22700
huntington	42.26530	-72.87330
sharon	42.10940	-71.17590
roxbury crossing	42.33070	-71.09120
shelburne falls	42.60220	-72.73910
nantucket	41.27515	-70.06960
erving	42.60760	-72.42920
becket	42.35940	-73.12030
north chatham	41.70300	-69.96660
turners falls	42.59540	-72.55570
fairhaven	41.64090	-70.88960
somerset	41.73915	-71.16360
templeton	42.54600	-72.06500
rowley	42.71380	-70.90700
buckland	42.57360	-72.82130
hathorne	42.58620	-70.97450
tewksbury	42.60280	-71.22320
monterey	42.18670	-73.20650
watertown	42.37060	-71.18097
lee	42.29900	-73.23170
boston	42.35230	-71.03872
gardner	42.57400	-71.98980
housatonic	42.26530	-73.37450
new braintree	42.31980	-72.13060
bernardston	42.69520	-72.57720
northfield	42.68870	-72.45100
feeding hills	42.07180	-72.67510
wareham	41.75410	-70.71160
south orleans	41.75670	-69.98410
prides crossing	42.55810	-70.82570
south lee	42.27790	-73.27730
leeds	42.35430	-72.70340
new bedford	41.64518	-70.93170
east sandwich	41.72830	-70.44000
pittsfield	42.41297	-73.23470
accord	42.17450	-70.88370
ashland	42.25390	-71.45830
williamstown	42.70890	-73.20360
norton	41.97180	-71.18940
pepperell	42.66890	-71.59340
lakeville	41.84165	-70.95385
sheffield	42.10010	-73.36110
haverhill	42.77218	-71.09700
belchertown	42.27510	-72.41100
north amherst	42.41040	-72.53090
brewster	41.74920	-70.06990
wenham	42.60170	-70.87860
scituate	42.20320	-70.75250
norfolk	42.11770	-71.32690
walpole	42.14440	-71.25440
sandwich	41.71130	-70.47750
attleboro falls	41.97260	-71.30820
whitman	42.08160	-70.93810
swansea	41.74730	-71.21220
north oxford	42.16550	-71.88600
palmer	42.17620	-72.32880
hatfield	42.38440	-72.61670
chartley	41.94870	-71.22590
hubbardston	42.48650	-72.00120
west newbury	42.79490	-70.97780
east bridgewater	42.03150	-70.94500
south wellfleet	41.91820	-69.99530
north dartmouth	41.63380	-70.99580
orange	42.61290	-72.29240
milton village	42.26680	-71.07170
raynham	41.93240	-71.04690
west hatfield	42.39060	-72.64690
hopedale	42.12680	-71.53760
truro	41.99880	-70.05640
northampton	42.33660	-72.63583
topsfield	42.64150	-70.94880
burlington	42.50685	-71.19800
norwell	42.15960	-70.82170
boylston	42.33770	-71.73100
