name	town	access	lat	lng	address	source
Tyngsboro Country Club	Tyngsboro	public	42.6711	-71.415	Pawtuckett Blvd	golfmassachusetts
Unicorn Golf Course	Stoneham	public	42.489294	-71.112996	460 William St	golfmassachusetts
Vesper Country Club	Tyngsboro	private	42.654504	-71.393917	185 Pawtucket Blvd	golfmassachusetts
Veterans Memorial Golf Course	Springfield	public	42.103397	-72.505068	1059 S Branch Pkwy	golfmassachusetts
Wachusett Country Club	West Boylston	public	42.362743	-71.788211	187 Prospect St	golfmassachusetts
Wading River Golf Course	Norton	public	41.950293	-71.228169	300 W Main St	golfmassachusetts
Wahconah Country Club	Dalton	semi	42.474398	-73.145248	15 Orchard Rd	golfmassachusetts
Walpole Country Club	Walpole	private	42.135991	-71.232383	233 Baker St	golfmassachusetts
Wampanoag Golf Course	North Swansea	public	41.771965	-71.27596	168 Old Providence Rd	golfmassachusetts
Wampatuck Country Club	Canton	private	42.163211	-71.125533	99 Pleasant Garden Rd	golfmassachusetts
Waubeeka Golf Links	Williamstown	public	42.656953	-73.239874	137 New Ashford Rd	golfmassachusetts
Waverly Oaks Golf Club	Plymouth	public	41.884838	-70.624901	444 Long Pond Rd	golfmassachusetts
Wayland Country Club	Wayland	public	42.374149	-71.377066	121 Old Sudbury Rd	golfmassachusetts
Weathervane Golf Club	Weymouth	public				local
Wedgewood Pines Country Club	Stow	private	42.442143	-71.538087	215 Harvard Rd	golfmassachusetts
Wellesley Country Club	Wellesley Hills	private	42.300606	-71.260595	294 Wellesley Ave	golfmassachusetts
Wenham Country Club	Wenham	semi	42.60022	-70.888869	94 Main St	golfmassachusetts
Wentworth Hills Golf & Country Club	Plainville	semi	42.012132	-71.374191	27 Bow St	golfmassachusetts
West Bridgewater Country Club	West Bridgewater	public				local
Westborough Country Club	Westborough	semi	42.263391	-71.624114	121 W Main St	golfmassachusetts
Westminster Country Club	Westminster	semi	42.541547	-71.931691	51 Ellis Rd	golfmassachusetts
Westminster Golf and Country Club	Westminster	public			51 Ellis Rd	local
Weston Golf Club	Weston	private	42.361191	-71.289117	275 Meadowbrook Rd	golfmassachusetts
Westover Golf Club	Granby	public	42.21711	-72.52729	S St	golfmassachusetts
Whaling City Golf Course	New Bedford	public			561 Hathaway Rd	local
Whaling City Golf Course at New Bedford	New Bedford	public	41.653292	-70.961043	561 Hathaway Rd	golfmassachusetts
White Cliffs Country Club	Plymouth	private	41.943767	-70.630889	1 Cliff Dr	golfmassachusetts
White Pines Golf Course	Brockton	public	42.04348	-71.017461	549 Copeland St	golfmassachusetts
Whitinsville Golf Club	Whitinsville	private	42.107025	-71.659638	179 Fletcher St	golfmassachusetts
Wianno Club	Osterville	private	41.618226	-70.38488	389 Parker Rd	golfmassachusetts
Widows Walk Golf Course	Scituate	public	42.20031	-70.772667	250 The Driftway	golfmassachusetts
William Devine Golf Course At Franklin Park	Dorchester	public			1 Circuit Dr	local
William J. Devine Franklin Park Golf Course	Dorchester	public	42.302101	-71.089738	1 Circuit Dr	golfmassachusetts
Willowbend	Mashpee	private	41.624616	-70.459254	100 Willow Bend Dr	golfmassachusetts
Willowdale Golf Course	Mansfield	public	42.017803	-71.22508	54 Willow St	golfmassachusetts
Winchendon Country Club	Winchendon	public	42.674916	-72.03642	172 Ash St	golfmassachusetts
Winthrop Golf Club	Winthrop	private	42.379949	-70.979762	453 Main St	golfmassachusetts
Woburn Country Club	Woburn	public	42.461457	-71.167803	1 Country Club Rd	golfmassachusetts
Wollaston Golf Club	Milton	private	42.231982	-71.070847	999 Randolph Ave	golfmassachusetts
Woodbriar - Falmouth	Falmouth	public	41.562029	-70.609893	339 Gifford St	golfmassachusetts
Woodland Golf Club	Auburndale	private	42.334908	-71.24322	1897 Washington St	golfmassachusetts
Woods Hole Golf Club	Falmouth	private	41.531341	-70.662772	130 Quissett Ave	golfmassachusetts
Worcester Country Club	Worcester	private	42.323814	-71.776212	2 Rice St	golfmassachusetts
Worcester Green Hill Municipal Golf Club	Worcester	muni	42.287844	-71.778158	2 Green Hill Ave	golfmassachusetts
Worthington Golf Club	Worthington	semi	42.407623	-72.944966	113 Ridge Rd	golfmassachusetts
Wyantenuck Country Club	Great Barrington	private	42.16873	-73.37905	West Sheffield Rd	golfmassachusetts
Wyckoff Country Club	Holyoke	private	42.21691	-72.66353	233 E Hampton Rd	golfmassachusetts
